Time,jersey_number,Team,Scored Goal,Missed Goal,role
0,13,B,0,0,goalkeeper
1,19,B,0,0,defender
2,16,B,0,0,midfielder
3,14,B,0,0,forward
4,5,B,1,0,forward
5,3,A,0,1,forward
6,13,B,0,0,goalkeeper
7,2,B,0,0,defender
8,16,B,0,0,midfielder
9,5,B,1,0,forward
10,17,A,0,0,defender
11,8,B,0,0,midfielder
12,5,B,0,1,forward
13,6,A,0,0,goalkeeper
14,4,A,0,0,defender
15,18,A,0,0,midfielder
16,12,A,0,1,forward
17,13,B,0,0,goalkeeper
18,7,B,0,0,defender
19,8,B,0,0,midfielder
20,12,A,0,1,forward
21,13,B,0,0,goalkeeper
22,4,A,0,0,defender
23,9,A,0,0,midfielder
24,3,A,0,0,forward
25,5,B,0,1,forward
26,6,A,0,0,goalkeeper
27,22,A,0,0,defender
28,18,A,0,0,midfielder
29,3,A,0,0,forward
30,12,A,0,0,forward
31,3,A,0,0,forward
32,12,A,0,0,forward
33,12,A,0,0,forward
34,12,A,0,1,forward
35,13,B,0,0,goalkeeper
36,20,B,0,0,defender
37,11,B,0,0,midfielder
38,14,B,0,0,forward
39,14,B,0,1,forward
40,6,A,0,0,goalkeeper
41,21,A,0,0,defender
42,15,A,0,0,midfielder
43,12,A,1,0,forward
44,5,B,1,0,forward
45,12,A,0,0,forward
46,12,A,1,0,forward
47,1,B,0,0,midfielder
48,14,B,0,0,forward
49,14,B,0,0,forward
50,5,B,0,0,forward
51,3,A,1,0,forward
52,20,B,0,0,defender
53,1,B,0,0,midfielder
54,14,B,0,0,forward
55,14,B,0,1,forward
56,6,A,0,0,goalkeeper
57,4,A,0,0,defender
58,10,A,0,0,midfielder
59,3,A,1,0,forward
60,1,B,0,0,midfielder
61,5,B,0,0,forward
62,5,B,0,0,forward
63,5,B,1,0,forward
64,10,A,0,0,midfielder
65,3,A,0,0,forward
66,3,A,0,0,forward
67,12,A,0,0,forward
68,3,A,0,0,forward
69,5,B,0,0,forward
70,5,B,0,0,forward
71,5,B,0,0,forward
72,5,B,0,0,forward
73,5,B,0,0,forward
74,3,A,0,0,forward
75,12,A,0,1,forward
76,13,B,0,0,goalkeeper
77,20,B,0,0,defender
78,18,A,0,0,midfielder
79,3,A,0,0,forward
80,3,A,0,0,forward
81,3,A,1,0,forward
82,5,B,1,0,forward
83,10,A,0,0,midfielder
84,5,B,1,0,forward
85,12,A,0,0,forward
86,3,A,0,0,forward
87,3,A,0,0,forward
88,3,A,0,1,forward
89,13,B,0,0,goalkeeper
90,4,A,0,0,defender
91,15,A,0,0,midfielder
92,3,A,0,0,forward
93,3,A,0,1,forward
94,13,B,0,0,goalkeeper
95,2,B,0,0,defender
96,11,B,0,0,midfielder
97,5,B,1,0,forward
98,4,A,0,0,defender
99,18,A,0,0,midfielder
100,12,A,0,0,forward
101,3,A,1,0,forward
102,2,B,0,0,defender
103,1,B,0,0,midfielder
104,5,B,0,0,forward
105,14,B,0,1,forward
106,6,A,0,0,goalkeeper
107,21,A,0,0,defender
108,9,A,0,0,midfielder
109,3,A,0,1,forward
110,13,B,0,0,goalkeeper
111,19,B,0,0,defender
112,9,A,0,0,midfielder
